stage,curriculum_mode,timesteps,mean_return,std_return,mean_survival_s,completion_rate,capture_rate,mean_time_to_capture_s,final_stable_rate,upright_ratio,rms_angle_deg,rms_cart_position_m,rms_force_n
random,evaluation_downward,0,9.419145678945785,52.86914393778918,6.773333333333333,0.08333333333333333,0.0,,0.0,0.0,165.75717370683103,1.0621919573475889,2.576011847667901
25_percent,near_upright,102400,456.45628578850784,20.829531502243245,20.0,1.0,0.0,,0.0,0.05108333333333334,116.82019785849258,0.19996958830136327,6.845281402569334
50_percent,wide,204800,644.5218666332636,18.933965873966912,20.0,1.0,0.08333333333333333,2.52,0.0,0.14191666666666666,92.00891879163471,0.2970528998565016,8.073965243678822
75_percent,full,307200,1206.8347096847208,114.47909911420184,20.0,1.0,1.0,2.895,0.08333333333333333,0.513,61.89831570698951,0.417776939643194,5.422521267720531
100_percent,downward_mix,409600,1612.4425851286771,250.0665620472694,20.0,1.0,1.0,2.775,0.9166666666666666,0.7916666666666666,45.76950514099888,0.29940270362876353,4.099998855494391
